fecha;material;planta;altura;ancho;rel_alto_ancho;circ_tallo;num_pan;avg_cap_pan;long_pan;ancho_pan;long_pa;sem_cap;larg_sem;anch_sem;peso_100sem
45599;INT 10707-3;1,00;5,92;5,00;1,18;58,00;737,00;8,80;5,15;3,88;1,50;35,60;5,74;4,84;1,59
45599;INT 10707-3;2,00;5,99;3,00;2,00;56,00;486,00;9,00;4,90;3,48;1,34;35,50;5,68;4,58;1,02
45599;INT 10707-3;3,00;5,28;3,00;1,76;43,00;192,00;10,60;5,18;3,87;1,72;37,10;5,80;4,88;1,18
45599;INT 10707-3;4,00;4,35;5,00;0,87;49,00;117,00;6,90;4,64;3,61;1,51;38,10;5,66;4,73;1,79
45599;INT10752-1;1,00;4,53;6,60;0,69;56,00;487,00;9,70;5,42;3,82;2,39;42,50;5,54;4,67;1,17
45599;INT10752-1;2,00;3,50;5,10;0,69;50,00;289,00;12,80;5,41;3,67;1,62;54,20;5,47;4,46;1,87
45599;INT10752-1;3,00;3,68;4,40;0,84;32,00;209,00;9,20;5,36;3,88;2,35;52,60;5,60;4,42;0,80
45599;INT 12887-1;1,00;6,13;7,90;0,78;57,00;837,00;9,20;4,65;3,94;2,17;47,00;5,67;5,20;3,45
45599;INT 12887-1;2,00;3,57;4,60;0,78;68,00;231,00;12,30;5,38;3,88;2,28;43,90;5,86;4,87;2,51
45599;INT 12887-1;3,00;3,28;3,60;0,91;69,00;130,00;8,80;4,43;3,70;1,87;40,90;5,89;5,40;2,99
45605;INT 10752-2;1,00;4,01;3,05;1,31;57,00;107,00;8,30;4,42;3,70;1,58;32,50;5,82;4,53;1,23
45605;INT 10752-2;2,00;4,84;4,10;1,18;53,00;34,00;7,50;4,53;3,88;2,36;28,70;5,30;4,32;1,59
45605;INT 10752-2;3,00;3,78;3,15;1,20;32,00;78,00;9,30;4,41;3,70;2,18;39,00;5,03;3,81;1,43
45605;INT 10707-2;1,00;4,99;4,50;1,11;51,00;403,00;8,10;4,50;2,68;1,84;24,80;6,45;4,90;3,98
45605;INT 10707-2;2,00;2,92;3,00;0,97;25,00;94,00;10,10;5,31;3,11;2,41;47,60;5,78;4,67;3,38
45605;INT 10707-2;3,00;3,23;5,50;0,59;40,00;167,00;12,50;5,22;3,02;2,34;39,10;6,53;5,21;2,25
45605;INT 12883-2;1,00;2,58;3,29;0,78;24,00;31,00;9,00;4,05;3,79;2,09;45,90;5,90;4,70;2,84
45605;INT 12883-2;2,00;3,58;5,29;0,68;28,00;50,00;7,38;4,51;3,47;2,02;51,00;6,09;4,56;0,70
45605;INT 9932-2;1,00;3,10;3,95;0,78;66,00;202,00;4,50;3,97;3,30;1,47;40,30;6,47;5,27;1,49
45606;INT 9932-2;3,00;3,27;4,90;0,67;35,50;133,00;5,50;3,99;4,06;2,07;39,22;5,72;4,93;1,89
45606;INT 10707-1;1,00;5,39;4,40;1,23;66,00;418,00;8,30;6,12;3,92;2,68;51,30;5,77;4,71;1,83
45606;INT 10707-1;2,00;3,43;3,90;0,88;39,00;133,00;6,40;5,30;3,76;2,38;51,80;5,86;4,93;1,15
